안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
GS25 수원은혜점,,경기도 수원시 권선구 세권로 304,경기도 수원시 권선구 권선동 1286-2번지,37.2521127527,127.0371424241,S
(수원시)GS25(수원은혜점),031-232-0025,경기도 수원시 권선구 세권로 304,경기도 수원시 권선구 권선동 1286-2번지,37.2521127527,127.0371424241,S
(수원시)cu수원 경수대로점,031-237-2361,경기도 수원시 권선구 경수대로395번길 20,경기도 수원시 권선구 권선동 944-8번지,37.2620812131,127.0232662447,S
CU 경수대로점,,경기도 수원시 권선구 경수대로395번길 20,경기도 수원시 권선구 권선동 944-8번지,37.2620812131,127.0232662447,S
코리아마트,,경기도 수원시 권선구 세지로112번길 15-28,경기도 수원시 권선구 권선동 953번지,37.2624950696,127.0208389181,S
(수원시)코리아마트,031-233-3358,경기도 수원시 권선구 세지로112번길 15-28,경기도 수원시 권선구 권선동 953번지,37.2624950696,127.0208389181,S
(수원시)수원권선지역아동센터,031-239-2821,경기도 수원시 권선구 세지로112번길 25-22,경기도 수원시 권선구 권선동 954-1번지,37.2622441912,127.0212126722,S
수원권선지역아동센터,,경기도 수원시 권선구 세지로112번길 25-22,경기도 수원시 권선구 권선동 954-1번지,37.2622441912,127.0212126722,S
GS25 권선세지로점,,경기도 수원시 권선구 세지로126번길 44,경기도 수원시 권선구 권선동 956-17번지,37.2621132677,127.0222736049,S
(수원시)GS25시 권선세지로점,031-237-2316,경기도 수원시 권선구 세지로126번길 44,경기도 수원시 권선구 권선동 956-17번지 1층,37.2621132677,127.0222736049,S
(수원시)또와분식,031-234-1251,경기도 수원시 권선구 권선로639번길 32,경기도 수원시 권선구 권선동 956번지,37.2621666673,127.0221041020,S
또와분식,,경기도 수원시 권선구 권선로639번길 32,경기도 수원시 권선구 권선동 956번지,37.2621666673,127.0221041020,S
(수원서부) 봄빛약국,031-227-5430,경기도 수원시 권선구 금곡로102번길 48,경기도 수원시 권선구 금곡동 1083-2번지,37.2721070998,126.9413613510,S
(수원서부) 수약국,031-296-7633,경기도 수원시 권선구 금곡로 202,경기도 수원시 권선구 금곡동 1118번지 e-SPACE CITY-1 108호,37.2734850987,126.9526982071,S
(수원서부) 금곡동 우편취급국,031-293-2009,경기도 수원시 권선구 금호로 59-15,경기도 수원시 권선구 금곡동 243-3번지,37.2701812963,126.9575494797,S
끌레오미용실,,경기도 수원시 권선구 서수원로 603,경기도 수원시 권선구 금곡동 47-6번지,37.2786500905,126.9546573961,S
(수원서부) 강남부동산,031-296-4100,,경기도 수원시 권선구 금곡동 66번지 강남아파트,37.2792275938,126.9528371138,S
(수원서부) 삼정야채,031-249-3028,,경기도 수원시 권선구 당수동 218-1번지 삼정아파트,37.2903911986,126.9421964346,S
(수원서부) GS 25 수원 당수점,031-501-3136,경기도 수원시 권선구 당진로 17,경기도 수원시 권선구 당수동 232-6번지,37.2907608208,126.9402983402,S
(수원서부) 아가페 약국,031-416-6651,경기도 수원시 권선구 당진로31번길 15,경기도 수원시 권선구 당수동 261-13번지,37.2918397785,126.9397262424,S
(수원서부) 서호보석,031-295-5537,경기도 수원시 권선구 상탑로 128,경기도 수원시 권선구 서둔동 143-1번지,37.2708815599,126.9851779708,S
(수원서부) 센트라우스 중개사무소,031-295-4114,경기도 수원시 권선구 세화로168번길 26,경기도 수원시 권선구 서둔동 17-552번지,37.2667592214,126.9949505567,S
(수원서부) 크린토피아,031-291-7755,경기도 수원시 권선구 세화로168번길 12,경기도 수원시 권선구 서둔동 17-65번지 정안빌딩 101호,37.2667285207,126.9940936051,S
GS서둔점,,경기도 수원시 권선구 여기산로 16,경기도 수원시 권선구 서둔동 260-29번지,37.2787945413,126.9787169441,S
(수원서부) 애플마트,,,경기도 수원시 권선구 서둔동 27-49번지 서호파크,37.2650597535,126.9896160740,S
(수원서부) 금강부동산,031-298-8500,,경기도 수원시 권선구 서둔동 371번지 센트라우스,37.2680301490,126.9949420684,S
(수원서부) 다농할인마트,031-293-9464,,경기도 수원시 권선구 서둔동 374번지 희성연인아파트 희성연인@ 상가,37.2714900694,126.9841587100,S
CU 서둔스카이점,031-227-9286,경기도 수원시 권선구 서호동로 26,경기도 수원시 권선구 서둔동 46-4번지,37.2684014124,126.9911274130,S
세븐일레븐 수원세지로점,,경기도 수원시 권선구 세권로108번길 42,경기도 수원시 권선구 세류동 1011-31번지,37.2559275136,127.0150842552,S
(수원시)세븐일레븐(수원세지로점),,경기도 수원시 권선구 세권로108번길 42,경기도 수원시 권선구 세류동 1011-31번지,37.2559275136,127.0150842552,S
삼성스토어 권선점,,경기도 수원시 권선구 경수대로 283,경기도 수원시 권선구 세류동 1101-2번지,37.2524842647,127.0195266195,S
(수원시)삼성스토어 권선점,031-267-3934,경기도 수원시 권선구 경수대로 283,경기도 수원시 권선구 세류동 1101-2번지 삼성스토어,37.2524842647,127.0195266195,S
장미세탁소,,경기도 수원시 권선구 경수대로235번길 54,경기도 수원시 권선구 세류동 1132-30번지,37.2493914575,127.0148555244,S
(수원시)장미세탁소,031-238-4576,경기도 수원시 권선구 경수대로235번길 54,경기도 수원시 권선구 세류동 1132-30번지,37.2493914575,127.0148555244,S
(수원시)신형정육점,031-232-0388,경기도 수원시 권선구 경수대로235번길 65,경기도 수원시 권선구 세류동 1140-6번지,37.2493342312,127.0140891374,S
신형정육점,,경기도 수원시 권선구 경수대로235번길 65,경기도 수원시 권선구 세류동 1140-6번지,37.2493342312,127.0140891374,S
(수원시)왕호랑이태권도,,경기도 수원시 권선구 정조로 432,경기도 수원시 권선구 세류동 1147번지 아영아파트 상가 2층,37.2480740671,127.0145257022,S
왕호랑이태권도,,경기도 수원시 권선구 정조로 432,경기도 수원시 권선구 세류동 1147번지 이영아파트 상가 2층,37.2481327666,127.0134541423,S
(수원시)cu세류일등점,031-222-2805,경기도 수원시 권선구 경수대로225번길 72,경기도 수원시 권선구 세류동 1148번지,37.2490776857,127.0152747390,S
CU 세류일등점,,경기도 수원시 권선구 경수대로225번길 72,경기도 수원시 권선구 세류동 1148번지,37.2490776857,127.0152747390,S
(수원서부) 녹색꽃식물원,031-235-1012,경기도 수원시 권선구 권선로538번길 34,경기도 수원시 권선구 세류동 220번지,37.2618711728,127.0093622103,S
(수원서부) 스피드 공인중개 사무소,031-233-4343,경기도 수원시 권선구 권선로537번길 2,경기도 수원시 권선구 세류동 318번지,37.2633725813,127.0105930377,S
(수원시)GS시(수원신곡점),031-238-2589,경기도 수원시 권선구 세권로94번길 1,경기도 수원시 권선구 세류동 508-44번지,37.2579178811,127.0146655219,S
GS25 수원신곡점,,경기도 수원시 권선구 세권로94번길 1,경기도 수원시 권선구 세류동 508-44번지,37.2579178811,127.0146655219,S
(수원서부) 신일문구,031-232-3445,경기도 수원시 권선구 세권로 85,경기도 수원시 권선구 세류동 520-5번지,37.2583654672,127.0139070819,S
(수원시)세븐일레븐(수원세류사거리점),031-221-9036,경기도 수원시 권선구 정조로495번길 7-1,경기도 수원시 권선구 세류동 565-2번지,37.2533503649,127.0109059558,S
세븐일레븐 수원세류사거리점,,경기도 수원시 권선구 정조로495번길 7-1,경기도 수원시 권선구 세류동 565-2번지,37.2533503649,127.0109059558,S
(수원서부) CU센트럴타운점,031-237-2805,경기도 수원시 권선구 권선로537번길 26-8,경기도 수원시 권선구 세류동 83-6번지 CU수원센트럴타운점,37.2642127657,127.0110499991,S
(수원서부) CU 수원신곡점,,경기도 수원시 권선구 세권로101번길 2,경기도 수원시 권선구 세류동 870-1번지 CU수원신곡점,37.2579037789,127.0156241634,S
(수원서부) 던킨도너츠 수원매교점,,경기도 수원시 권선구 효원로94번길 1,경기도 수원시 권선구 세류동 97-113번지,37.2661645626,127.0122103232,S
(수원서부) 삼부자마트,031-232-6087,경기도 수원시 권선구 효원로94번길 31-13,경기도 수원시 권선구 세류동 97-24번지,37.2649110080,127.0120605151,S
(수원서부) 김밥천국,031-291-0510,경기도 수원시 권선구 오목천로 31,경기도 수원시 권선구 오목천동 431-1번지,37.2403197539,126.9658360409,S
중앙양로원,031-291-2188,,경기도 수원시 권선구 오목천동 747-1,,,F
중앙실비요양원,031-291-2188,,경기도 수원시 권선구 오목천동 747-1,,,F
(수원서부) 새로나미용실,,,경기도 수원시 권선구 입북동 153번지 웅비아파트,37.2973495554,126.9576365125,S
대명설비철물,031-295-1178,경기도 수원시 권선구 입북로 37,경기도 수원시 권선구 입북동 251-6번지,37.2951304301,126.9592320090,S
CU수원마암점,031-297-1619,경기도 수원시 권선구 입북로77번길 61,경기도 수원시 권선구 입북동 815번지 서수원레이크푸르지오2단지 상가 내,37.2981679357,126.9533092277,S
(수원서부) 한아름 약국,031-294-4999,경기도 수원시 권선구 탑동로 9,경기도 수원시 권선구 탑동 841-3번지,37.2696739721,126.9749788701,S
CU탑동하나점,,경기도 수원시 권선구 하탑로34번길 25,경기도 수원시 권선구 탑동 865-3번지,37.2677851552,126.9759055450,S
파리바게트 수원능실마을점,031-227-8270,경기도 수원시 권선구 호매실로165번길 70,경기도 수원시 권선구 호매실동 1388번지 파리바게트 수원능실마을점,37.2612583138,126.9518506564,S
CU능실점,,,경기도 수원시 권선구 호매실동 1388번지 호매실경남아너스빌,37.2612583138,126.9518506564,S
(수원서부) 두배로마트,031-295-6005,경기도 수원시 권선구 호매실로165번길 28,경기도 수원시 권선구 호매실동 1391번지,37.2597546704,126.9561243792,S
(수원서부) CU 호매실스카이점,031-227-5430,경기도 수원시 권선구 호매실로166번길 33,경기도 수원시 권선구 호매실동 1393번지 힐스테이트18단지 상가 1층,37.2588686452,126.9594800745,S
CU호매실스카이점,,,경기도 수원시 권선구 호매실동 1393번지 힐스테이트호매실,37.2588686452,126.9594800745,S
(수원서부) 메디팜하늘약국,031-296-6975,경기도 수원시 권선구 호매실로104번길 24-61,경기도 수원시 권선구 호매실동 1400-2번지,37.2588289363,126.9626379695,S
(수원서부) 금호약국,031-292-9107,경기도 수원시 권선구 매실로 70,경기도 수원시 권선구 호매실동 377번지 호매실GS아파트 상가 103호,37.2681655529,126.9602595195,S
(수원서부) GS25 호매실점,031-292-3551,경기도 수원시 권선구 노림로 15,경기도 수원시 권선구 호매실동 404-4번지,37.2673718891,126.9542650463,S
(수원시)삼성디지털프라자 영통본점,031-206-6181,경기도 수원시 영통구 덕영대로 1477,경기도 수원시 영통구 망포동 31-6번지,37.2460601118,127.0524462264,S
(수원시)CU(망포원룸점),031-203-8167,경기도 수원시 영통구 영통로174번길 85,경기도 수원시 영통구 망포동 345-20번지,37.2439164349,127.0601033558,S
(수원시)정약국,031-206-8929,경기도 수원시 영통구 태장로 73,경기도 수원시 영통구 망포동 378번지 정석그린프라자 1층,37.2393427168,127.0543123856,S
(수원시)명음악교습소,031-202-7745,경기도 수원시 영통구 영통로90번길 20-11,경기도 수원시 영통구 망포동 485-5번지 1층,37.2382922031,127.0602375080,S
(수원시)허주헤어갤러리,031-202-1232,경기도 수원시 영통구 태장로 62,경기도 수원시 영통구 망포동 651-1번지 동원프라자 102호,37.2389684775,127.0530744198,S
(수원시)세븐일레븐 수원망포현대점,,경기도 수원시 영통구 태장로 47,경기도 수원시 영통구 망포동 683번지 망포마을현대2차아이파크 상가 106호,37.2393496760,127.0513810208,S
(수원시)태장문구,031-205-0180,경기도 수원시 영통구 태장로71번길 15,경기도 수원시 영통구 망포동 690번지 엘지2차아파트 상가 102호,37.2399809553,127.0538463766,S
(수원시)굿모닝캐슬공인중개사사무소,031-203-1600,경기도 수원시 영통구 덕영대로 1400,경기도 수원시 영통구 망포동 760번지 영통아이파크캐슬2단지 상가 107호,37.2435285575,127.0433623180,S
(수원시)남부할인마트,031-215-7789,경기도 수원시 영통구 매봉로35번길 25,경기도 수원시 영통구 매탄동 111-110번지,37.2714394428,127.0513937139,S
(수원시)성일분식,031-215-2692,경기도 수원시 영통구 동탄원천로1109번길 42,경기도 수원시 영통구 매탄동 1199번지 원천성일아파트 상가 107호,37.2702673999,127.0561152609,S
(수원시)매탄2동 우체국,031-214-2001,경기도 수원시 영통구 매영로 93-20,경기도 수원시 영통구 매탄동 1213-1번지,37.2687136555,127.0528310015,S
(수원시)카페마음,,경기도 수원시 영통구 매영로 87,경기도 수원시 영통구 매탄동 1215-8번지 1층 카페마음,37.2680270339,127.0524177538,S
(수원시)카페원,,경기도 수원시 영통구 매영로 87,경기도 수원시 영통구 매탄동 1215-8번지 진생빌딩 1층,37.2680270339,127.0524177538,S
(수원시)나이스데이24,031-216-0828,경기도 수원시 영통구 매탄로 142,경기도 수원시 영통구 매탄동 1233-2번지 양성프라자 105호,37.2632994630,127.0442128733,S
(수원시)주공공인중개사무소,031-217-1900,경기도 수원시 영통구 매탄로126번길 22,경기도 수원시 영통구 매탄동 1258번지 주공그린빌 1단지 정문옆 상가,37.2608571724,127.0443403660,S
(수원시)매탄3동 우체국,031-214-0250,경기도 수원시 영통구 동탄원천로881번길 66,경기도 수원시 영통구 매탄동 1279-4번지,37.2558845975,127.0428141222,S
(수원시)세븐일레븐(매탄법원점),,경기도 수원시 영통구 동수원로514번길 11,경기도 수원시 영통구 매탄동 130-11번지,37.2723788816,127.0471809816,S
(수원시)CU(매탄공원점),031-214-7024,경기도 수원시 영통구 매영로 39,경기도 수원시 영통구 매탄동 198-92번지,37.2694220316,127.0471084590,S
(수원시)GS25(수원매탄점),031-211-0669,,경기도 수원시 영통구 매탄동 810-4번지 매탄성일아파트,37.2650628533,127.0433451065,S
(수원시)CU매탄성일W점,,경기도 수원시 영통구 인계로 239,경기도 수원시 영통구 매탄동 810-4번지 매탄성일아파트 1층 상가,37.2650628533,127.0433451065,S
(수원시)신원약국,031-212-2332,경기도 수원시 영통구 인계로 218,경기도 수원시 영통구 매탄동 923-14번지,37.2649467098,127.0412819094,S
(수원시)래미안공인중개사,031-273-3131,,경기도 수원시 영통구 영통동 1046-1번지 청명마을삼성아파트,37.2537680694,127.0797799176,S
(수원시)세븐일레븐 영통청명주공점,031-203-0997,경기도 수원시 영통구 청명북로 83,경기도 수원시 영통구 영통동 1048-5번지 청명마을주공아파트 가동 103호,37.2586004645,127.0800350042,S
(수원시)쌍용랜드공인중개사,031-203-8300,경기도 수원시 영통구 봉영로1744번길 16,경기도 수원시 영통구 영통동 1052-2번지 쌍용아파트 상가 104호,37.2640467802,127.0831174952,S
(수원시)쌍용랜드,031-203-8300,경기도 수원시 영통구 봉영로1744번길 16,경기도 수원시 영통구 영통동 1052-2번지 쌍용아파트 상가 104호,37.2644076891,127.0832170084,S
(수원시)월드크리닝 수원황골점,031-206-8916,경기도 수원시 영통구 영통로 517,경기도 수원시 영통구 영통동 949-5번지 영통로 517,37.2649370615,127.0774396799,S
(수원시)GS25 황골주공점,,경기도 수원시 영통구 영통로 513,경기도 수원시 영통구 영통동 954-1번지,37.2645675770,127.0774643005,S
(수원시)영통국가대표부부태권도장,031-205-3555,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-8 영통국가대표부부태권도장 단지내 상가 2층,37.2618544428,127.0800169373,S
(수원시)신나무실 약국,031-203-0669,,경기도 수원시 영통구 영통동 963-2번지 신성.신안.쌍용.진흥아파트,37.2551456333,127.0643795928,S
(수원시)신원미주김밥,031-203-6123,경기도 수원시 영통구 매영로310번길 31,경기도 수원시 영통구 영통동 965-2번지 신원미주아파트 상가 105호,37.2525928799,127.0663450908,S
(수원시)또래분식,031-204-5424,경기도 수원시 영통구 덕영대로1673번길 18,경기도 수원시 영통구 영통동 990-9번지,37.2483764723,127.0743862591,S
아주대병원,031-216-1117,,경기도 수원시 영통구 원천동 산 5,37.2833457572,127.0464761597,S
(수원시)웰빙약국,031-213-5682,경기도 수원시 영통구 대학로 109,경기도 수원시 영통구 이의동 1202번지 골드클래스 107호,37.3050812591,127.0471542251,S
(수원시)광교둥지부동산,031-252-4800,경기도 수원시 영통구 센트럴파크로127번길 8,경기도 수원시 영통구 이의동 1315-1번지 상가 104호,37.2951446526,127.0557998884,S
(수원시)세븐일레븐 광교월드마크1호점,-1577-0711,경기도 수원시 영통구 센트럴타운로 107,"경기도 수원시 영통구 이의동 1331번지 광교푸르지오월드마크,월드스퀘어 B12호",37.2917110567,127.0488364370,S
(수원시)바른부동산중개,031-253-7800,경기도 수원시 영통구 에듀타운로 24,경기도 수원시 영통구 이의동 1341-4번지 그린프라자 108호,37.2852161359,127.0522934066,S
(수원시)총각네 야채가게 광교점,031-216-5249,,경기도 수원시 영통구 이의동 1353번지 경기 수원시 영통구 에듀타운로 65 자이앤자이 2단지아파트상가 102호,37.2872675135,127.0489193759,S
GS25 장안 수일로점,,,경기도 수원시 장안구 송죽동 1층 상가,,,F
(수원중부)나들가게경인공판장,031-243-8929,경기도 수원시 장안구 송원로13번길 33,경기도 수원시 장안구 송죽동 374-31번지,37.2978488603,127.0036337835,S
(수원중부)청화약국,031-246-4161,경기도 수원시 장안구 정조로 1039,경기도 수원시 장안구 송죽동 379-1번지 송죽빌딩,37.2987434755,127.0063245801,S
국민대 경호태권도장,031-246-5222,경기도 수원시 장안구 송정로59번길 1,경기도 수원시 장안구 송죽동 398-4번지 2층,37.2961989387,127.0035430800,S
(수원중부)삼우(아)관리소,031-252-4398,경기도 수원시 장안구 정조로1088번길 18-22,경기도 수원시 장안구 송죽동 458-3번지 삼우아파트 관리소,37.3020787611,127.0042040188,S
CU수원송전로점,031-246-0889,경기도 수원시 장안구 송원로59번길 46,경기도 수원시 장안구 송죽동 497-31번지,37.3018721014,127.0065185193,S
(수원중부)우리문구,031-244-5428,경기도 수원시 장안구 정조로1060번길 26,경기도 수원시 장안구 송죽동 501-20번지 모닝빌,37.3013669144,127.0064202682,S
(수원중부) 삼미컴퓨터크리닝,031-248-3324,경기도 수원시 장안구 창훈로39번길 12-3,경기도 수원시 장안구 연무동 215-30번지,37.2961971827,127.0295950442,S
(수원중부) GS25시 경기대점,031-248-0091,경기도 수원시 장안구 광교산로140번길 3,경기도 수원시 장안구 연무동 6-4번지,37.2999596916,127.0305306974,S
경희대석사 창용태권도,031-255-9364,경기도 수원시 장안구 광교산로138번길 1,경기도 수원시 장안구 연무동 7-7번지 3층,37.2997337232,127.0303741354,S
(수원중부)CU수원광교산점,,경기도 수원시 장안구 창훈로60번길 53,경기도 수원시 장안구 연무동 9-14번지,37.2996043503,127.0295738255,S
용인대 챔피언 태권도장,031-243-4143,,경기도 수원시 장안구 영화동,,,F
(수원중부)삼성스토어북수원점,031-257-1767,경기도 수원시 장안구 경수대로 793,경기도 수원시 장안구 영화동 104-28번지,37.2925463840,127.0183468145,S
(수원중부) 뚜레쥬루 성대점,031-227-0189,경기도 수원시 장안구 율전로 105,경기도 수원시 장안구 율전동 305-22번지,37.2985898052,126.9687527617,S
연우태권도,031-296-6341,경기도 수원시 장안구 율전로 107,경기도 수원시 장안구 율전동 305-6번지 수일빌딩 2층,37.2988162588,126.9689993984,S
(수원중부) 율전교회,031-268-9106,경기도 수원시 장안구 율전로107번길 17,경기도 수원시 장안구 율전동 312-8번지,37.2989121663,126.9682766014,S
(수원중부) 에이원옷수선,031-278-7726,경기도 수원시 장안구 서부로 2095-1,경기도 수원시 장안구 율전동 419번지,37.2960414905,126.9693348205,S
(수원중부) 김밥월드,031-269-1500,경기도 수원시 장안구 상률로46번길 3,경기도 수원시 장안구 율전동 554번지,37.3056940067,126.9710498975,S
(수원중부) 코사마트동신점,,경기도 수원시 장안구 장안로 211,경기도 수원시 장안구 정자동 313-1번지 313-1. 동신2차 상가동 지하4.5호,37.3005122890,126.9940140878,S
(수원장안) 기산영재어린이집,031-242-7470,경기도 수원시 장안구 송정로46번길 27,경기도 수원시 장안구 정자동 35-28번지,37.2950244190,127.0028964077,S
명품클래식 CJ Smile 태권도장,031-254-5235,경기도 수원시 장안구 장안로217번길 14,경기도 수원시 장안구 정자동 383번지 범야상가 3층 304호,37.3017988713,126.9934525714,S
(수원중부) CU수원수성점,031-246-7765,경기도 수원시 장안구 장안로 112,경기도 수원시 장안구 정자동 40-3번지,37.2941502774,127.0008036196,S
(수원중부) 우리지역아동센터,031-269-2012,경기도 수원시 장안구 장안로 282,경기도 수원시 장안구 정자동 533-105번지,37.3069071738,126.9907551932,S
경희대 다솔 태권도,031-269-9973,경기도 수원시 장안구 장안로359번길 19,경기도 수원시 장안구 정자동 575-2번지 현대힐스테이트프라자 상가 2층,37.3118254485,126.9858242835,S
(수원중부) 점핑클럽,031-271-9955,경기도 수원시 장안구 이목로 24-3,경기도 수원시 장안구 정자동 600-28번지 (음악줄넘기) 402호,37.3096213713,126.9847446701,S
비상태권도장 수원관,,경기도 수원시 장안구 이목로 24-3,경기도 수원시 장안구 정자동 600-28번지 스카이프라자 4층,37.3096213713,126.9847446701,S
(수원중부) 용인대박사 태풍태권도,031-269-6689,경기도 수원시 장안구 대평로90번길 19,경기도 수원시 장안구 정자동 872-2번지,37.2971310229,126.9937659478,S
(수원중부) 점핑클럽 음악 줄넘기,031-269-6689,경기도 수원시 장안구 대평로90번길 19,경기도 수원시 장안구 정자동 872-2번지,37.2971310229,126.9937659478,S
(수원중부) 파크뷰 한국부동산,031-268-2900,,경기도 수원시 장안구 정자동 882-5번지 화서역파크뷰,37.2918531722,126.9905633436,S
(수원중부) 한라뱅크부동산,031-268-3000,,경기도 수원시 장안구 정자동 919번지 청솔마을한라아파트,37.2943942493,126.9841264642,S
(수원중부)두레생협서수원점,031-271-1077,경기도 수원시 장안구 만석로20번길 38,경기도 수원시 장안구 정자동 920번지,37.2936402505,126.9848536858,S
MTA 다솔태권도장,031-271-1003,경기도 수원시 장안구 이목로 24,경기도 수원시 장안구 정자동 945번지 601동 205호 206호,37.3057762966,126.9856285067,S
(수원중부) 파리바게트(수원스카이뷰점),031-268-8204,경기도 수원시 장안구 이목로 24,경기도 수원시 장안구 정자동 945번지 sk스카이뷰 상가 103호,37.3057762966,126.9856285067,S
세븐 조원중앙점,,,경기도 수원시 장안구 조원동,,,F
(수원중부)조원할인마트,031-245-6748,경기도 수원시 장안구 금당로90번길 31,경기도 수원시 장안구 조원동 524-4번지,37.2997753049,127.0205122514,S
장안 대호태권도,031-252-0216,경기도 수원시 장안구 수성로381번길 1,경기도 수원시 장안구 조원동 642-6번지 산호빌딩 2층,37.2942567476,127.0133828945,S
CU 조원플러스점,,경기도 수원시 장안구 금당로10번길 63,경기도 수원시 장안구 조원동 731-15번지 메가타워 1층,37.3021554873,127.0162093434,S
키즈석사 태권도,031-255-5244,경기도 수원시 장안구 금당로10번길 63,경기도 수원시 장안구 조원동 731-15번지 메가타워 2층,37.3021554873,127.0162093434,S
(수원중부) 선화문구,031-242-3346,경기도 수원시 장안구 경수대로844번길 17,경기도 수원시 장안구 조원동 773-5번지,37.2970696196,127.0157116210,S
(수원중부) 김인경부동산랜드,031-293-4484,경기도 수원시 장안구 화산로 87,경기도 수원시 장안구 천천동 334-2번지,37.2917187819,126.9824411355,S
경희대 석사 태권도장,031-268-7440,,경기도 수원시 장안구 천천동 482번지 비단마을신명아파트 상가동 3층 (7),37.3020337305,126.9810841219,S
(수원중부) 등촌칼국수,031-269-2292,경기도 수원시 장안구 정자로20번길 27,경기도 수원시 장안구 천천동 506-9번지,37.2990629566,126.9798972299,S
(수원중부) 수원우체국,031-888-1461,경기도 수원시 장안구 천천로 94,경기도 수원시 장안구 천천동 517번지,37.3002358063,126.9842558192,S
(수원중부) cu 천천대일점,031-268-3347,경기도 수원시 장안구 만석로19번길 11-7,경기도 수원시 장안구 천천동 528-3번지,37.2954908592,126.9834194504,S
용인대 창조 태권도,031-271-1251,,경기도 수원시 장안구 천천동 일성아파트 상가,,,F
(수원중부)삼성영어 수일초점,,경기도 수원시 장안구 수일로 91,경기도 수원시 장안구 파장동 410-4번지 1층,37.3099964701,127.0007552940,S
(수원중부)Hy 정자점,031-256-7296,경기도 수원시 장안구 파장천로58번길 64,경기도 수원시 장안구 파장동 422-25번지,37.3085682687,126.9998055440,S
(수원서부) 스마일문구,031-244-2608,,경기도 수원시 팔달구 고등동 5-11번지 한솔아트빌,37.2784400176,127.0053292002,S
스마일문구,,,경기도 수원시 팔달구 고등동 5-11번지 한솔아트빌,37.2784400176,127.0053292002,S
남문디지털인쇄,,경기도 수원시 팔달구 팔달산로 5,경기도 수원시 팔달구 교동 52-1번지,37.2713553337,127.0119061393,S
(수원서부) 남문디지털인쇄,031-242-4780,경기도 수원시 팔달구 팔달산로 5,경기도 수원시 팔달구 교동 52-1번지,37.2713553337,127.0119061393,S
이마트24 수원행궁점,,경기도 수원시 팔달구 행궁로 51,경기도 수원시 팔달구 남창동 133-5번지,37.2779780696,127.0156873211,S
예술헤어샵,,경기도 수원시 팔달구 행궁로 51,경기도 수원시 팔달구 남창동 133-5번지,37.2779780696,127.0156873211,S
(수원서부) 해피타임,031-246-8083,경기도 수원시 팔달구 갓매산로71번길 10,경기도 수원시 팔달구 매산로1가 24-6번지,37.2694604970,127.0027825503,S
(수원서부) 샬롬마트,031-250-9898,경기도 수원시 팔달구 매산로 51,경기도 수원시 팔달구 매산로2가 40-1번지,37.2691621423,127.0068786966,S
해피타임,,경기도 수원시 팔달구 매산로 51,경기도 수원시 팔달구 매산로2가 40-1번지,37.2691621423,127.0068786966,S
샬롬마트,,경기도 수원시 팔달구 매산로 51,경기도 수원시 팔달구 매산로2가 40-1번지,37.2691621423,127.0068786966,S
(수원서부) 럭키마트,031-214-5950,경기도 수원시 팔달구 갓매산로 19,경기도 수원시 팔달구 매산로3가 106-5번지,37.2663925434,127.0063215623,S
(수원서부) 성일슈퍼,031-234-9857,경기도 수원시 팔달구 세류로75번길 2,경기도 수원시 팔달구 매산로3가 111-68번지,37.2661675249,127.0085674129,S
(수원서부) 땡큐 25,031-234-9449,경기도 수원시 팔달구 세류로 63,경기도 수원시 팔달구 매산로3가 112-9번지,37.2649573012,127.0080000931,S
네오프린팅,,경기도 수원시 팔달구 향교로 92,경기도 수원시 팔달구 매산로3가 44-1번지,37.2708544592,127.0106686826,S
(수원서부) 네오프린팅,,경기도 수원시 팔달구 향교로 92,경기도 수원시 팔달구 매산로3가 44-1번지,37.2708544592,127.0106686826,S
(수원서부) GS 25 매산중앙점,031-224-5788,경기도 수원시 팔달구 효원로60번길 30,경기도 수원시 팔달구 매산로3가 94-1번지,37.2677321113,127.0076436839,S
늘푸른약국,,경기도 수원시 팔달구 중부대로223번길 65,경기도 수원시 팔달구 우만동 30-1번지,37.2788180026,127.0409834197,S
동화공인중개사,,,경기도 수원시 팔달구 우만동 300번지 주공4단지아파트,37.2913048172,127.0301444808,S
주공쌀정육점(신주공마트),,,경기도 수원시 팔달구 우만동 300번지 주공4단지아파트,37.2913048172,127.0301444808,S
주공슈퍼마켓,,경기도 수원시 팔달구 창룡대로210번길 13,경기도 수원시 팔달구 우만동 301번지 복합상가단지 301호,37.2918025870,127.0352183467,S
CU 수원연무점,,경기도 수원시 팔달구 월드컵로 379,경기도 수원시 팔달구 우만동 466번지,37.2909238675,127.0295489036,S
호돌이문구,,경기도 수원시 팔달구 월드컵로 379,경기도 수원시 팔달구 우만동 466번지,37.2909238675,127.0295489036,S
GS25 우만센트럴점,,경기도 수원시 팔달구 경수대로692번길 40,경기도 수원시 팔달구 우만동 485-3번지,37.2878656712,127.0289248960,S
GS25 수원본점,,경기도 수원시 팔달구 중부대로143번길 11,경기도 수원시 팔달구 우만동 561-13번지,37.2788639243,127.0319928161,S
비타민약국,,경기도 수원시 팔달구 중부대로143번길 29,경기도 수원시 팔달구 우만동 561-2번지,37.2796573977,127.0320555852,S
애드맥스 종합광고기획,,경기도 수원시 팔달구 월드컵로211번길 3,경기도 수원시 팔달구 우만동 58-27번지,37.2800151898,127.0428825339,S
